"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
0,3.93422605763111e-06,1.57578064085308e-06,1.77362147685116e-05
1,3.78410957606786e-06,1.58066534240327e-06,1.55205799916955e-05
2,3.58971473316151e-06,1.58785189887705e-06,1.78487732276287e-05
3,3.47843007909596e-06,1.59072432396094e-06,1.69830151415912e-05
4,3.7826758900937e-06,1.59344932723402e-06,1.75711528356174e-05
5,3.69830463618831e-06,1.5717169471169e-06,1.72994142641574e-05
6,3.51432214376096e-06,1.59511837634784e-06,1.72847089540165e-05
7,3.45034867185411e-06,1.59751127889587e-06,1.73046000941683e-05
8,3.76225141186174e-06,1.57713378704561e-06,1.74124163052628e-05
9,3.66067655046116e-06,1.58064424051721e-06,1.69250700600759e-05
10,3.47035065779926e-06,1.57493740839344e-06,1.7054027429608e-05
11,3.37861152620318e-06,1.58464528533448e-06,1.63164607741277e-05
12,3.70013625849189e-06,1.58004619157611e-06,1.81898478550445e-05
13,3.6411236564148e-06,1.57289021645932e-06,1.72348576464589e-05
14,3.44592478472161e-06,1.58193271659614e-06,1.81594630606009e-05
15,3.38550275272635e-06,1.58745595167771e-06,1.7436647602012e-05
16,4.24759388209478e-06,1.5900169018475e-06,1.81733860803238e-05
17,4.08651842664847e-06,1.58129020408014e-06,1.77371685116306e-05
18,3.91713769686539e-06,1.60650278465038e-06,1.78409180151833e-05
19,3.7973587073843e-06,1.59311128481366e-06,1.72923314672884e-05
20,4.02937108716242e-06,1.57998963738267e-06,1.98315080606283e-05
21,3.94726669874127e-06,1.58124690004102e-06,1.81858924032178e-05
22,3.80653377552656e-06,1.60524841270694e-06,1.77815383383196e-05
23,3.74586543388069e-06,1.58605428288603e-06,1.71490821314477e-05
24,4.02378643017602e-06,1.5711176618354e-06,1.93387555124495e-05
25,3.91220961848376e-06,1.59244732460591e-06,1.87283758705672e-05
26,3.77721770246497e-06,1.59928802705036e-06,1.90342205479793e-05
27,3.67126685465309e-06,1.5813896837546e-06,1.79851732551819e-05
28,3.90040106424009e-06,1.58167778729321e-06,1.96834047340292e-05
29,3.8373620510228e-06,1.57637503106443e-06,1.82264596672728e-05
30,3.71942005074323e-06,1.59184771914569e-06,1.89847184062571e-05
31,3.65178593234105e-06,1.58998664952641e-06,1.77724361370859e-05
32,3.67904931458477e-06,1.57125079362764e-06,2.07137997205229e-05
33,3.55777445664472e-06,1.58740672233612e-06,1.81695110493152e-05
34,3.392778227002e-06,1.5836750802767e-06,1.88563756062212e-05
35,3.30100032567706e-06,1.58566461593363e-06,1.76471286474743e-05
36,3.57427940335362e-06,1.59175765879105e-06,1.82651640269068e-05
37,3.51368564126922e-06,1.59019110926195e-06,1.90993235920315e-05
38,3.35044624721941e-06,1.61326580777e-06,1.9078418842534e-05
39,3.30013601227995e-06,1.60829578454657e-06,1.77708863222921e-05
40,3.52689613565716e-06,1.58648732785189e-06,1.82963252312415e-05
41,3.45391209060455e-06,1.57633163257232e-06,1.67078394165598e-05
42,3.29388025932788e-06,1.58665682600485e-06,1.80628617568039e-05
43,3.22593053291325e-06,1.59936632492517e-06,1.73165477928993e-05
44,3.48816962992366e-06,1.60520201290207e-06,1.79324478004603e-05
45,3.44812092393001e-06,1.57445420379002e-06,1.74519821023489e-05
46,3.28978290915434e-06,1.59404993495656e-06,1.75909690225457e-05
