"A","alpha","p","c"
0.446315866808366,0.587957323072631,0.158147942556429,0.00772061721778497
0.266042305767878,0.599323925800927,0.645303325812066,0.0214957649744283
0.234205912393778,0.643677188214237,0.420369213739697,0.0198232340147688
0.388238005634185,0.578836147795529,0.317241107057024,0.020079951758425
0.36769488689809,0.619443027021977,0.331047690364294,0.0269596407457988
0.195277753497416,0.575725262900554,0.506604695922425,0.0405479102271181
0.300878192828135,0.592680641728051,0.415670975459948,0.0366485669409759
0.354772434526686,0.515060758941233,0.244154815746545,0.0146671701414291
0.391611131629979,0.651657175673139,0.262159095477877,0.0177769289115204
0.216851917750675,0.521702698472624,0.589684632733852,0.0546372015024456
0.18886119620875,0.552041325553167,0.483843367838419,0.0261231096468782
0.213129452308783,0.543261277898086,0.380463807047868,0.0208089806213499
0.265926981965894,0.551432848131124,0.481972331646589,0.0331737518482072
0.334686136980513,0.574342892981611,0.335185540096082,0.0261035763936422
0.258418070821728,0.60108693930862,0.633168621505092,0.0433096983266158
0.32360596952424,0.51725738929169,0.306941307451385,0.0223541623737951
0.321872436636441,0.691664742267113,0.411228146002431,0.0210018190293539
0.289711786221105,0.739182359164299,0.871253756628647,0.0466239671610255
0.306787958404747,0.490419683653203,0.322764463593017,0.016698995759194
0.296911092230538,0.597883575595803,0.432973652693114,0.0342728509567851
0.217970526281151,0.734623358241213,0.645304526387286,0.0289152508603058
0.291197039615105,0.623079116678413,0.322006585230728,0.0158847369000229
0.319545860735835,0.573041830832909,0.23681072530893,0.0136114323348938
0.365618306151218,0.695863899580826,0.264874470071832,0.014140529453773
0.293173092790826,0.596638476840125,0.396915804674322,0.0227237686319219
0.401272729798558,0.608060440052012,0.198081528182844,0.0166565742104812
0.252637755040468,0.533796915639751,0.407778158687571,0.0239348522918074
0.348920667731374,0.637488195396952,0.637657419747668,0.0285512334653733
0.42585978514162,0.637966205792043,0.385824997569093,0.020442911371117
0.167265556255607,0.62030219245141,0.442128086448495,0.02816736456578
