"iter","loglik","Q","A","alpha","p","c","diff"
1,-2499.05143790142,-3325.36278257177,0.3,1,1.2,0.01,0.129613818282747
2,-2495.70276598783,-3317.857824586,0.277857028097637,1.0576526804346,1.19048819901924,0.0097917076082355,0.0728290146597478
3,-2495.05802045832,-3314.73653064024,0.261483086457864,1.10348145478019,1.18337511462698,0.00953527892639524,0.0523158349468387
4,-2494.7373577013,-3312.86174303212,0.250053557896075,1.13848863930872,1.17810199853982,0.00937520980724593,0.0395663117961573
5,-2494.54122733388,-3311.83505829054,0.242114819604391,1.16513231697857,1.17350752003497,0.00923070247260073,0.0301944352341221
6,-2494.41263264422,-3311.51611787097,0.236643560052738,1.1854448845051,1.16940788110365,0.00911240163755207,0.0233383604486424
7,-2494.32458153216,-3311.57276897896,0.232903738505111,1.20106272489585,1.16570341216575,0.00899469444847664,0.0182046639554666
8,-2494.26117213532,-3311.91314830306,0.230425305286577,1.21314686507432,1.16230595290821,0.00887943059397747,0.0142895425729615
9,-2494.21388166419,-3312.44879953513,0.228824861710583,1.22257538979404,1.15925441561996,0.00877751491015018,0.0113863695587451
10,-2494.17678957489,-3313.11160754346,0.227903146833471,1.23000849944424,1.15641427431707,0.00867629186708994,0.0091315133796875
11,-2494.14744516509,-3313.80560754052,0.227413140335997,1.23592827998699,1.15386310308247,0.00858245323805297,0.00736391913695492
12,-2494.12337601287,-3314.54487128946,0.227270589114311,1.24065949645218,1.15152472016792,0.00849582339155158,0.00623258560456905
13,-2494.10343417144,-3315.23605357998,0.227329345014835,1.24455642286094,1.14939057911501,0.00840950389179187,0.0055868315635071
14,-2494.08601802754,-3316.02618960228,0.227612218041128,1.24773749529703,1.14738721367023,0.00833844227414799,0.00488632411788443
15,-2494.07160796422,-3316.73229877731,0.227952350277595,1.25040372138786,1.14561801271419,0.00827260054196608,0.004570585744971
16,-2494.05861719302,-3317.42675941871,0.228435728158865,1.25264698002344,1.14388479261191,0.00820081320429946,0.00413686960754424
17,-2494.04726024697,-3318.11162143603,0.228969128122306,1.25455697400081,1.14228931708794,0.00813784521628092,0.00380215988200572
18,-2494.03728033321,-3318.7506329122,0.229534883367045,1.2562112527646,1.14080101345901,0.0080761235936018,0.00337294621296336
19,-2494.02872433711,-3319.37338801571,0.230076089599599,1.25765246727284,1.13948637838562,0.00802920514544162,0.00316575372053791
20,-2494.02101039722,-3319.97290382919,0.230652807557291,1.2589134862362,1.13823200863928,0.00798240363814835,0.00291817416637052
21,-2494.01427015197,-3320.49908135836,0.231190880993417,1.26007209799298,1.13708165859841,0.00793608521246139,0.00268289935679977
22,-2494.00830267578,-3320.98836895678,0.231719216333994,1.26109340346964,1.13601438299148,0.00789236642504328,0.00262790134665678
23,-2494.00267637827,-3321.4715130121,0.232288882778859,1.26201837561728,1.13494766271417,0.00784606336112254,0.00249891498239852
24,-2493.99746311539,-3321.99023983985,0.232862894144749,1.26287786108312,1.13393727603475,0.00781031388567438,0.00218458547426177
25,-2493.99314964054,-3322.41115547838,0.233354403584242,1.26364995182018,1.13306985401802,0.0077762358305354,0.00212242843252262
26,-2493.98913659377,-3322.8066348404,0.233858958617847,1.26435592209287,1.13221195789038,0.00773889346742877,0.00193292437744024
27,-2493.98556330472,-3323.21331550578,0.234331334786601,1.26500146168138,1.13143882892051,0.00771244721247966,0.00184002390620399
28,-2493.98233507653,-3323.57672257498,0.234785029965646,1.26561056481189,1.1307053125285,0.00768383825306446,0.00184244075578761
29,-2493.97924291533,-3323.91330748127,0.235263112728776,1.26617580584361,1.12995501858424,0.00764884986812137,0.00176189051866708
30,-2493.97630806453,-3324.30808480718,0.235751270593076,1.26669675427721,1.12923864887101,0.0076253630779688,0.00161826049329914
