"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
0,3.93422605763111e-06,1.52544567154378e-06,1.34732773404259e-05
1,3.78410957606786e-06,1.55135769216394e-06,1.55774406804042e-05
2,3.58971473316151e-06,1.55322468307502e-06,1.66923253237402e-05
3,3.47843007909596e-06,1.58620764768192e-06,1.77492339032534e-05
4,3.7826758900937e-06,1.57792763767429e-06,1.63138096123829e-05
5,3.69830463618831e-06,1.60546592771364e-06,1.86299475336625e-05
6,3.51432214376096e-06,1.61854487409292e-06,1.77043144589448e-05
7,3.45034867185411e-06,1.5917803965321e-06,1.44295191339902e-05
8,3.76225141186174e-06,1.55681588413931e-06,1.33319258278467e-05
9,3.66067655046116e-06,1.59553391630887e-06,1.66914480043158e-05
10,3.47035065779926e-06,1.56982763035125e-06,1.44569444686715e-05
11,3.37861152620318e-06,1.59926516796402e-06,1.64661840695083e-05
12,3.70013625849189e-06,1.58594429674653e-06,1.4784835244864e-05
13,3.6411236564148e-06,1.56653886833252e-06,1.5875526605734e-05
14,3.44592478472161e-06,1.60430726683537e-06,1.57633468352924e-05
15,3.38550275272635e-06,1.58745595167771e-06,1.74744900115869e-05
16,4.24759388209478e-06,1.60709406842216e-06,1.5434407303312e-05
17,4.08651842664847e-06,1.61320236944512e-06,1.80522754551093e-05
18,3.91713769686539e-06,1.5899405291445e-06,1.75241209788477e-05
19,3.7973587073843e-06,1.63812357281796e-06,1.39317184110904e-05
20,4.02937108716242e-06,1.63915649277764e-06,1.85248727638625e-05
21,3.94726669874127e-06,1.67085940814152e-06,2.21391209911345e-05
22,3.80653377552656e-06,1.66665138244115e-06,1.4910103260517e-05
23,3.74586543388069e-06,1.6115526883759e-06,1.79760809940723e-05
24,4.02378643017602e-06,1.62416092419514e-06,1.73730704919662e-05
25,3.91220961848376e-06,1.64022476053743e-06,1.73230862248762e-05
26,3.77721770246497e-06,1.60934824700857e-06,1.62671622697046e-05
27,3.67126685465309e-06,1.59979048322588e-06,1.7476212331276e-05
28,3.90040106424009e-06,1.63817453826054e-06,1.63880929761493e-05
29,3.8373620510228e-06,1.62216192570842e-06,1.82371824567513e-05
30,3.71942005074323e-06,1.62427386026688e-06,1.73708132411739e-05
31,3.65178593234105e-06,1.62593728481686e-06,1.45238633077749e-05
32,3.67904931458477e-06,1.55217466287214e-06,1.51426749014668e-05
33,3.55777445664472e-06,1.54317884874868e-06,1.62862309449753e-05
34,3.392778227002e-06,1.57472653761862e-06,1.52479926024206e-05
35,3.30100032567706e-06,1.5853977478943e-06,1.41721479955515e-05
36,3.57427940335362e-06,1.5914128187397e-06,1.76860765435148e-05
37,3.51368564126922e-06,1.59306786444399e-06,1.47889793840861e-05
38,3.35044624721941e-06,1.6156552075694e-06,1.52142216785715e-05
39,3.30013601227995e-06,1.63304824462389e-06,1.78014511747501e-05
40,3.52689613565716e-06,1.59154113190645e-06,1.65431741311317e-05
41,3.45391209060455e-06,1.59985924336811e-06,1.63496327419996e-05
42,3.29388025932788e-06,1.60869668852879e-06,1.29743722161903e-05
43,3.22593053291325e-06,1.60099091893048e-06,1.62044522346289e-05
44,3.48816962992366e-06,1.62485337841115e-06,1.63930843400805e-05
45,3.44812092393001e-06,1.60821753757115e-06,1.74771628465436e-05
46,3.28978290915434e-06,1.59404993495656e-06,1.25731917158553e-05
47,3.24281386071132e-06,1.58906561564325e-06,1.43210494464966e-05
48,3.9717883602181e-06,1.62598264177495e-06,1.74625290701117e-05
49,3.85847878378217e-06,1.59554778602472e-06,1.43356250085776e-05
50,3.71154728243116e-06,1.60361095654596e-06,1.41663782839825e-05
51,3.6224289100729e-06,1.62472592792853e-06,1.51791540100505e-05
52,3.82327982070659e-06,1.64291108300789e-06,1.48376090132525e-05
53,3.77868808598113e-06,1.64658596117623e-06,1.720913186063e-05
54,3.65244619949351e-06,1.67499687718467e-06,1.84587742050126e-05
55,3.61111704516846e-06,1.65362716840547e-06,1.86614287850961e-05
56,3.79344692007338e-06,1.60689751854853e-06,1.52322487145074e-05
57,3.72823057214647e-06,1.6052815756488e-06,1.66356135813269e-05
58,3.60742640253969e-06,1.63971524011134e-06,1.31249521504648e-05
59,3.53559047626049e-06,1.63946388109762e-06,1.39163336046384e-05
60,3.71237891137434e-06,1.66192472920822e-06,1.75251162937447e-05
61,3.68226187984007e-06,1.6485588964783e-06,1.43706308547735e-05
62,3.58618675326113e-06,1.61485836622097e-06,1.47629272894891e-05
63,3.53843288358213e-06,1.61017079331566e-06,1.7808730732028e-05
64,3.71237957193586e-06,1.61207738864394e-06,1.69292145484805e-05
65,3.64266134750056e-06,1.63191202751994e-06,1.65982673030117e-05
66,3.41854360055363e-06,1.56622518568502e-06,1.91839366099163e-05
67,3.37649906403563e-06,1.56692022810308e-06,1.77697281347114e-05
68,3.60547772781479e-06,1.58304474486562e-06,1.74457187221236e-05
69,3.57481955069903e-06,1.60881008400463e-06,1.53297526884388e-05
70,3.3733854085058e-06,1.56178558404597e-06,1.84517484853633e-05
71,3.35739837864581e-06,1.56348150102497e-06,1.68514101482099e-05
72,3.52761033743149e-06,1.5513962796146e-06,1.6827134384918e-05
73,3.50537357032151e-06,1.58837667936851e-06,1.72616364496148e-05
74,3.26859614577148e-06,1.57542523636587e-06,1.62919041319672e-05
75,3.25067831010703e-06,1.575452238943e-06,1.76374074675929e-05
76,3.48447502504303e-06,1.56307213557623e-06,1.4896412079562e-05
77,3.4853918929296e-06,1.5615067268683e-06,1.74993239176395e-05
