"A","alpha","p","c","N","failed","conv_iter"
0.407414757110251,1.01644340376643,1.08041031528961,0.00665406736204558,274,FALSE,30
0.244348566855781,1.22729380461011,1.18671228360555,0.0083926975859671,558,FALSE,30
0.254715075186615,1.19742777105026,1.15795970511387,0.00874671414630881,411,FALSE,30
0.199762995226039,1.12430057030853,1.33020806624724,0.0238461039455177,319,FALSE,30
0.150214893411602,1.38493671233185,1.24948001222825,0.0160567708569426,336,FALSE,30
0.22413322491456,1.28347745561421,1.13557182804937,0.00612994403553853,488,FALSE,30
0.144641594178095,1.34675170457088,1.28329983887721,0.0145614160436699,319,FALSE,30
0.262256181288646,1.20854524089289,1.12447675973921,0.00444929730247911,409,FALSE,30
0.275377355561833,1.22708149682536,1.12945531731043,0.00894531247089913,533,FALSE,30
0.281149653783339,1.34434809558948,1.08793633939302,0.0065480822616237,497,FALSE,30
0.596692885268456,0.909603797056603,1.06395117851011,0.00649494758387033,274,FALSE,30
0.228340704961369,1.65618479704357,1.0586044866146,0.00773007800134203,268,FALSE,30
0.226029407270604,1.53516006513294,1.08790403176563,0.0130196709788077,312,FALSE,30
0.319233648368181,1.18663418842074,1.1241384060435,0.00700548039165029,477,FALSE,30
0.187484222922458,1.41793604440089,1.15272247061604,0.0108932286863941,512,FALSE,30
0.176273424955338,1.52949220269218,1.09809840899302,0.00559127433158577,374,FALSE,30
0.19451078648155,1.12471651581322,1.31181438977885,0.0106726590312062,283,FALSE,30
0.266350726546823,1.16461268706976,1.10799961841703,0.00432453907289568,266,FALSE,30
0.292439017358573,1.22204632663642,1.08516483512583,0.00632850199611708,308,FALSE,30
0.255003213117504,1.19838899989819,1.1125540587911,0.00698496986354356,331,FALSE,30
0.159282794706014,1.49730137797884,1.09638670797276,0.00493003530063574,290,FALSE,30
0.187034839663018,1.26302975232515,1.22534876722893,0.00963541357504867,365,FALSE,30
0.185104287236736,1.07219505477211,1.23529043859803,0.00931932837294319,239,FALSE,30
0.171270418317312,1.4653078425654,1.11442387970267,0.00752636403870627,380,FALSE,30
0.278412658150155,1.15569643686017,1.16470006158324,0.00955057589067966,399,FALSE,30
0.285425711621525,1.1203919755457,1.12927259396624,0.00622647732526558,357,FALSE,30
0.208351999159267,1.22365833253807,1.20871609054241,0.00900605491513019,335,FALSE,30
0.222120758059962,1.27818142592593,1.15483106343868,0.00622928024404405,340,FALSE,30
0.237945955444496,1.32481335961773,1.12418600564407,0.0169404590619158,280,FALSE,30
0.224590862656703,1.37270608224379,1.11667236024038,0.0058733293578512,502,FALSE,30
0.225698253771018,1.34804004702847,1.0988879137637,0.00408521855635113,445,FALSE,30
0.303868580954358,1.29657632740452,1.10650628483686,0.00982859212532886,479,FALSE,30
0.255687463148318,1.29984191739938,1.11606069875179,0.00682639502934545,345,FALSE,30
0.371558106427636,0.870515503859796,1.13657062318121,0.00636588202226237,294,FALSE,30
0.17117095222536,1.37888441544419,1.18297451470518,0.00881574477615385,344,FALSE,30
0.195690240100411,1.28943181496249,1.19272771034387,0.0169962397414236,319,FALSE,30
0.243193270229921,1.35903841914144,1.12509605710922,0.0103077543697523,436,FALSE,30
0.24235436918846,1.35664500503881,1.10772835135644,0.00575162737047765,516,FALSE,30
0.384280752052922,1.1084778498287,1.09285848833934,0.00799131080459991,511,FALSE,30
0.388800312472212,1.0320563301229,1.12336165564374,0.00837294257830826,305,FALSE,30
0.466920847736528,1.07096984224802,1.05025056268197,0.00282411525764717,257,FALSE,30
0.301444789074689,1.37143127190345,1.07730124382502,0.0055495802421653,438,FALSE,30
0.226440737635703,1.36042348389186,1.09263006432956,0.0046498707385183,317,FALSE,30
0.365427411495304,1.05525979635573,1.07207013898302,0.00410913371001616,252,FALSE,30
0.200272112603064,1.47717656713645,1.1013018341198,0.0124214957263812,339,FALSE,30
0.194175793042591,1.43866122069186,1.09211887936456,0.00840008587035916,391,FALSE,30
0.188111241447178,1.57132607714155,1.07595955779695,0.00595869552514905,331,FALSE,30
0.352704708481693,1.11265235542926,1.07602669980724,0.00671381481015723,280,FALSE,30
0.305744516653332,1.17288509236832,1.08762837976081,0.00421902447474153,304,FALSE,30
0.326659360060631,1.09633126037819,1.10474901247337,0.00493004274468104,354,FALSE,30
0.171174662091472,1.41643476680212,1.14031249817339,0.00539934912335839,405,FALSE,30
0.118293991609466,1.57929000352109,1.1576637049007,0.00615509738902684,373,FALSE,30
0.255880105202019,1.32923826126383,1.1033951575466,0.00664304289827066,360,FALSE,30
0.178541725553951,1.36187939092028,1.16721036056862,0.00790184155030399,384,FALSE,30
0.0808593086513914,2.01194119070662,1.11930474025684,0.00925944424372596,214,FALSE,30
0.27027649522616,1.29521734026529,1.10801367096113,0.0113387430225745,370,FALSE,30
0.26680871017578,1.11897158723485,1.18334693212455,0.0114129051531736,396,FALSE,30
0.237060153629352,1.06025144806606,1.2358035413581,0.0113447347447444,352,FALSE,30
0.181593219669986,1.23790758513966,1.25524726743038,0.0113197178118588,345,FALSE,27
0.212142364978497,1.28141396740275,1.13007532818711,0.00754735917116906,313,FALSE,30
0.167797806159961,1.31313581793061,1.22986010466754,0.0119294050691584,365,FALSE,30
0.18915441164258,1.37058302069378,1.17334824531521,0.0100889138865753,376,FALSE,30
0.12768545290322,1.52160092838496,1.31615220552919,0.0274901187289917,363,FALSE,30
0.263284448228176,1.23421973437545,1.10244205817889,0.00951328531417768,296,FALSE,30
0.295118399147045,1.21227443101907,1.12374963916789,0.00763741491516771,416,FALSE,30
0.262500677552523,1.11723813261251,1.18561762631749,0.0126407366353781,329,FALSE,30
0.27375896007429,1.02592771305554,1.14833663871466,0.0163687380313645,256,FALSE,30
0.299321893090579,0.95782593436562,1.21051557635664,0.0105633968646022,362,FALSE,30
0.238405359379496,1.231192704967,1.11401402506112,0.00694202106872191,258,FALSE,30
0.211608771020091,1.26279216663642,1.16816894217601,0.00992421527314148,360,FALSE,30
0.160398940073547,1.29073546959645,1.34484233974022,0.0226071890520534,328,FALSE,30
0.195033520860437,1.15398343339165,1.40189142598837,0.0177794273353879,338,FALSE,30
0.308812444838251,1.01969714098348,1.13078306019154,0.00693410442973756,262,FALSE,30
0.200992746060609,1.37849181022319,1.12589589972802,0.00746574437261863,297,FALSE,30
0.243351416698034,1.21880768377245,1.1170138733279,0.0043184023014363,283,FALSE,30
0.248765227942858,1.28930352133816,1.11275303383364,0.00605932900099516,556,FALSE,30
0.191351866305013,1.31261376168153,1.11802916828208,0.00462955259588664,312,FALSE,30
0.199555655991075,1.1837578720176,1.19679163935971,0.0073469391669981,339,FALSE,30
0.217597110880987,1.37393955078256,1.1074228085613,0.00393220497840486,433,FALSE,30
0.105928451964542,1.80278134151002,1.07722884653164,0.00582846099340983,324,FALSE,30
0.130489276796003,1.62169378586326,1.10789238460143,0.00487344779142573,290,FALSE,30
0.221462259498101,1.33770987747698,1.102314061186,0.00762607489394468,344,FALSE,30
0.290210509988736,1.21947183833748,1.14023323742936,0.00966482952718857,355,FALSE,30
0.190057807993396,1.37838957096186,1.13170587051953,0.0139247663404525,242,FALSE,30
0.231407898114418,1.26927654315741,1.16513920623092,0.00915603678270139,533,FALSE,30
0.249535554880802,1.30306346499555,1.10271499316871,0.00617881091041895,390,FALSE,30
0.293131958881101,1.09278710225593,1.11976726371461,0.00382107943542062,269,FALSE,30
0.147029951204677,1.33240138708365,1.36480102220045,0.016907989696523,367,FALSE,30
0.186934187452716,1.29316874121681,1.21306557238005,0.0106640636125241,405,FALSE,30
0.172004862436397,1.38976440279931,1.1897668271234,0.0100039801680111,291,FALSE,30
0.27950876935103,1.09177108437403,1.19233214773248,0.0109484816587708,423,FALSE,30
0.224066951179561,1.41651323170135,1.09263416289009,0.00652041543467232,465,FALSE,30
0.232040009397406,1.3381784613558,1.100228603146,0.00553017270331622,376,FALSE,30
0.158048836157878,1.3979267869684,1.22797057538074,0.0103805551227352,375,FALSE,30
0.130222395274184,1.34087781311138,1.22008377309358,0.00982930203628926,241,FALSE,30
0.196403426815234,1.24846370134038,1.20638809789093,0.011530384699942,331,FALSE,30
0.188777428297889,1.50306609913659,1.07663798098063,0.0042030573774849,366,FALSE,30
0.217177748182274,1.44848944919647,1.0658415065691,0.0034764990695965,264,FALSE,30
0.295926276069733,1.26558901341456,1.06954410964542,0.00269553349521364,347,FALSE,30
0.18121091221792,1.31241270118336,1.18815744460403,0.00675306334422596,299,FALSE,30
0.210888005687852,1.23816135254661,1.17103542699882,0.0109523304769696,342,FALSE,30
0.228428744858704,1.25889998499866,1.12523252946892,0.00596791275363661,300,FALSE,30
0.203220488904057,1.25903459996444,1.16085118381238,0.00685911769750779,359,FALSE,30
0.273264980551496,1.29587907866869,1.08738891415322,0.00829858100863133,279,FALSE,30
0.164387614003794,1.38097008675523,1.18930060276353,0.0141827838168463,365,FALSE,30
0.328727569276875,1.1267801759097,1.1115508718458,0.00894642936727624,423,FALSE,30
0.286325458909724,1.18006949375168,1.10861955857326,0.00758963039695252,393,FALSE,30
0.346354044027304,1.15444206913114,1.10338335273303,0.00572336130939068,405,FALSE,30
0.258984688203328,1.36155788287408,1.07283888147403,0.00264938856097637,325,FALSE,30
